AFE_REG_6D_Time,AFE_REG_6D_Value,ECG_Time,ECG_Value,ECG_RAW_Time,ECG_RAW_Value,TIA1-3_Time,TIA1-3_Value,TIA1-3_RAW_Time,TIA1-3_RAW_Value
0.062,10.0,0.248,0.008405113220214843,0.248,14689.0,2.48,-0.6981285095214843,2.48,15557148.0,
0.0625,10.0,0.25,0.009786415100097656,0.25,17103.0,2.5,-0.6995132446289062,2.5,15554728.0,
0.063,10.0,0.252,0.0037038803100585935,0.252,6473.0,2.52,-0.702337646484375,2.52,15549792.0,
0.0635,10.0,0.254,0.0020645141601562497,0.254,3608.0,2.54,-0.7051082611083984,2.54,15544950.0,
0.064,10.0,0.256,-0.0009441375732421875,0.256,16775566.0,2.56,-0.7073873519897461,2.56,15540967.0,
0.0645,10.0,0.258,-0.00812530517578125,0.258,16763016.0,2.58,-0.7090438842773438,2.58,15538072.0,
0.065,10.0,0.26,-0.011402320861816405,0.26,16757289.0,2.6,-0.7094438552856445,2.6,15537373.0,
0.0655,10.0,0.262,-0.005215644836425781,0.262,16768101.0,2.62,-0.7088916778564452,2.62,15538338.0,
0.066,10.0,0.264,0.005229949951171875,0.264,9140.0,2.64,-0.7072174072265625,2.64,15541264.0,
0.0665,10.0,0.266,0.009799003601074219,0.266,17125.0,2.66,-0.7044679641723632,2.66,15546069.0,
0.067,10.0,0.268,0.005101203918457031,0.268,8915.0,2.68,-0.7010650634765625,2.68,15552016.0,
0.0675,10.0,0.27,0.002613258361816406,0.27,4567.0,2.7,-0.697697639465332,2.7,15557901.0,
0.068,10.0,0.272,0.001480865478515625,0.272,2588.0,2.72,-0.6942014694213867,2.72,15564011.0,
0.0685,10.0,0.274,-0.005359840393066406,0.274,16767849.0,2.74,-0.6918972015380859,2.74,15568038.0,
0.069,10.0,0.276,-0.010161781311035156,0.276,16759457.0,2.76,-0.6895442962646484,2.76,15572150.0,
0.0695,10.0,0.278,-0.007296180725097656,0.278,16764465.0,2.78,-0.6873561859130859,2.78,15575974.0,
0.07,10.0,0.28,0.004063224792480468,0.28,7101.0,2.8,-0.6850118637084961,2.8,15580071.0,
0.0705,10.0,0.282,0.010667037963867186,0.282,18642.0,2.82,-0.6824495315551757,2.82,15584549.0,
